File Version,BWSpec4.11_1
152,803.87,12439.83,299.03,1113.0000,65535.0000,2847.6667,1734.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
153,804.02,12437.48,301.37,1114.0000,65535.0000,2809.3333,1695.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
154,804.17,12435.14,303.72,1099.0000,65535.0000,2759.6667,1660.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
155,804.32,12432.79,306.06,1103.0000,65535.0000,2749.3333,1646.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
156,804.48,12430.45,308.40,1111.0000,65535.0000,2776.0000,1665.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
157,804.63,12428.11,310.74,1099.0000,65535.0000,2748.3333,1649.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
158,804.78,12425.77,313.08,1069.0000,65535.0000,2722.6667,1653.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
159,804.93,12423.43,315.42,1094.0000,65535.0000,2699.6667,1605.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
160,805.08,12421.09,317.76,1109.0000,65535.0000,2731.3333,1622.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
161,805.23,12418.76,320.10,1071.0000,65535.0000,2662.6667,1591.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
162,805.39,12416.42,322.43,1075.0000,65535.0000,2635.0000,1560.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
163,805.54,12414.09,324.77,1126.0000,65535.0000,2639.3333,1513.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
164,805.69,12411.75,327.10,1108.0000,65535.0000,2617.0000,1509.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
165,805.84,12409.42,329.43,1076.0000,65535.0000,2572.6667,1496.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
